,lambda
292,0.2853551471075712
293,0.09107153347728901
294,0.2594615108987962
295,0.12043310281114473
296,0.17385313845974568
297,0.07238696784855667
298,0.42003854354485565
299,0.09058086121012505
300,0.7265646717017193
301,0.3782901545809746
302,0.24542523122519816
303,0.8628795455487521
306,0.13048840861436464
307,0.8634950236242701
308,0.18306062078195406
309,0.22185654424258866
310,0.1775112540271903
311,0.17085555883504727
312,0.20077870463331318
313,0.21064353533819036
314,0.15602021010335337
315,0.31238888476553367
316,0.3286117896369235
317,0.07656964523217011
318,0.2238255125454021
319,0.16729140288511557
320,0.21682333957717853
321,0.3793101103708434
322,0.15056826962501743
323,0.0655401646484799
324,0.22297224872659088
325,0.13603541784512987
326,0.24606251808018656
327,0.061388305763302696
328,0.08149595576016502
329,0.2831239991992945
330,0.15109970254990354
331,0.20211893793550434
332,0.12976828768842227
333,0.213780378339375
334,0.14507487311852688
335,0.23157133495166302
336,0.13746198037681953
337,0.14997349307327593
338,0.2973829341761818
339,0.09892317521316964
340,0.21384051555007005
341,0.5149327127575498
343,0.16069420323770592
344,0.08727844679299698
345,0.36302371618288615
347,0.18569799431231634
348,0.21185925794848376
349,0.155363616351072
350,0.4937533604299514
351,0.20068075674363178
352,0.1420270978384635
353,0.0711242487765196
354,0.12584096726478544
356,0.40352012826137507
357,0.1494801753792586
358,0.1500300441344438
359,0.10376568829379545
360,0.20160473250419886
361,0.27541176837887466
362,0.13100330487390158
363,0.05621466325283977
364,0.10030216019030398
365,0.12208887190909849
366,0.1124102639660713
367,0.18521270854479335
368,0.2165493479497778
370,0.06978601255750785
371,0.047588118647500274
372,0.044059501205460115
373,0.057520527539966324
374,0.36925519840653864
375,0.09937535099877524
376,0.20699448539575843
377,0.09013508151593326
378,0.0952162648234574
379,0.2270932433587679
380,0.083419084643563
381,0.16187183070041172
382,0.09185680766673786
383,0.30172049277424257
384,0.0917622279049217
386,0.4454819351793765
387,0.22237602899318315
388,0.2896449670083897
389,0.07444726556192742
390,0.11048133873924634
391,0.10362787508635718
392,0.12139594919751384
393,0.09405389206273178
394,0.10987871032742191
395,0.326415013070688
396,0.15039076357029318
397,0.28477945936872157
398,0.14674114278783912
399,0.19747174276552099
400,0.17850421147748263
401,0.21495987032592467
402,0.10412559365054459
403,0.15989979222283743
404,0.5831914681929276
405,0.29445239722208877
409,0.2566372115384217
410,0.25123285467052053
411,0.25945264559898656
412,0.11623918045964868
419,0.27178136639138134
420,0.13577609882530117
421,0.10151371905115539
423,0.1293523492763608
424,0.18934086404806932
425,0.11743182804126376
426,0.16501532774954236
427,0.3904462640270894
428,0.26460359631878155
430,0.14772469110453343
431,0.0611515210444995
432,0.08933603140725571
433,0.13332447829955338
435,0.1849564166822507
436,0.1885501957695544
437,0.18756428454483576
439,0.05514889708624501
440,0.16914514799127017
441,0.13391890742577542
442,0.08269511447828366
443,0.17678097569073314
444,0.19672329051505935
445,0.141284877399871
446,0.1730563656135798
447,0.08075686060822046
448,0.22393597549229474
449,0.28427528791156825
450,0.14127388675827027
451,0.1181574215320056
452,0.2087944082896142
453,0.18044719414206006
454,0.09914238213350651
455,0.10659481484791411
456,0.12335694400071272
