,alpha,beta,lambda
162,0.012822198712450161,0.0138863468566996,0.0016916840305843059
163,0.01408156673016311,0.015543083170632892,0.003859675769107197
164,0.016456143004963435,0.033710414550794016,0.012044085685208086
165,0.012692855651369512,0.02891555514961519,0.007952324213792732
166,0.014940808896145666,0.01558339632465816,0.0003535128325658176
167,0.015477278940761298,0.01910480744057568,0.008394890502551402
168,0.017649401310725347,0.019655839847721426,0.0024954588907853026
169,0.022928959844208712,0.025983156135409413,0.006595467800964212
170,0.009665884001222086,0.02343754810251377,0.004940894671771991
171,0.020537841248613072,0.030102972324041466,0.008966362745235901
172,0.008430435968698961,0.008919372629242637,0.0004117361420143829
173,0.012747962509231133,0.020393804169669346,0.009417993646255654
174,0.0057308489574435535,0.005868355448810898,0.00029577791824926444
175,0.005671991784737516,0.005671991784737516,2.3439132180682167e-16
176,0.019477749401175994,0.03235701395815866,0.009725342595432411
177,0.016116151034286253,0.020062005882783514,0.0063172924350819075
178,0.021199527439183536,0.047352762141023685,0.019917713882595722
180,0.01718553198731792,0.0177612956523197,0.00025963541876463926
181,0.013753051402653095,0.01525380707136886,0.0024105776894079714
182,0.014932465396446243,0.020180389668591356,0.0063575514108310605
183,0.029536640246378195,0.03717075192340238,0.013346846009634762
184,0.013589138038992539,0.014938531892489925,0.0024599316972981427
185,0.025283914493274367,0.03835598708433122,0.018765361392919802
186,0.02258376127357204,0.02646366329644533,0.008776431133080024
187,0.01819544691841269,0.021901873514576443,0.005269354974142688
188,0.012001790170770561,0.018762314893089656,0.005515087682236557
189,0.023657636932271815,0.027372427685767906,0.005874557605883294
190,0.017979064362675812,0.03364012453639798,0.01678825063836792
191,0.08175230958697638,0.08403800771328876,0.00560264597307527
192,0.014746513856953383,0.014991850707599466,0.0006161022576238308
193,0.00971606268261008,0.011405136546431941,0.003053791999603012
194,0.008077459735509218,0.010583850424025477,0.0008125846498886214
195,0.016957738326618614,0.021062857945458202,0.006379047779603637
196,0.012661964686233925,0.01680171148261487,0.005374774989891833
197,0.02451947903708455,0.0740643580101251,0.013615455231324926
199,0.024964474915709935,0.02633394037885013,0.002539994295492684
200,0.021017154279487565,0.03286742950057722,0.013581111707709983
201,0.01828266623078154,0.023714685364417367,0.008818950593969177
202,0.024329379735921607,0.03971089239908442,0.020675111371017477
203,0.014740219806350327,0.01635277500546079,0.0025033272703749447
204,0.019875363516066814,0.042385549387428,0.007515233106103564
206,0.01924149868795284,0.024077848008023553,0.009495724934292306
207,0.010142009404177185,0.011073737761010111,0.0016072447544672862
208,0.011636600164411745,0.027167511784791484,0.007679977143800891
209,0.010204687556884914,0.017383214118662067,0.007472288584369939
210,0.012437394222456473,0.013159707119401478,0.00036922027254157695
211,0.012668391667140606,0.01399881213522592,0.0009345218760717171
212,0.012807312181244103,0.013549060805299324,0.003050271415793158
213,0.08497748174756826,0.08914871898267633,0.006814340539329561
214,0.015472366167036948,0.02519231409925514,0.01267162865901094
215,0.006621675233204375,0.006621675233211599,0.00010430058383072541
216,0.018894355874208554,0.02671074988802643,0.010774648017071311
217,0.025417813628777333,0.027930981003884952,0.005226016833702214
218,0.010667695998411646,0.010825144056634048,1.8252030846446437e-05
219,0.022158214154335443,0.040269962314418435,0.021107201008685787
220,0.013857594082405365,0.01698000678843353,0.005522950060298287
221,0.013128019480511814,0.017393768524716635,0.005307366058139763
222,0.04523399583167683,0.04649579559822602,0.0069657572919614805
223,0.019073516196536917,0.042141123976214,0.022777849704900755
224,0.039606698775086754,0.051451112775218924,0.014901975734898992
225,0.02080100401431249,0.02088757935737486,0.004756898131993988
226,0.009128324613900882,0.00959526761230683,0.0009719646830587034
227,0.01356963686293393,0.027707921052785536,0.010649492724783173
228,0.005020727646128014,0.006230699021817405,7.44109120859744e-17
229,0.022191327264065353,0.024431564809700056,0.005296264554715897
230,0.01298805862268533,0.019749744394233538,0.006858246841523498
231,0.015663623861939074,0.018212414732326876,0.0032685472680213626
232,0.004800182224042607,0.005207146309851075,0.001073261074104527
233,0.01867086333442399,0.020424933647355398,0.003668528930754449
234,0.020442608320325104,0.02857102460003528,0.010855591630470156
235,0.01853108144018091,0.026507360075396683,0.008411629224746107
236,0.01055258713881436,0.012258361735133326,0.0033417687209520643
237,0.027631183941305048,0.05514582205492474,0.01525630921309116
238,0.020805008503933336,0.03669264339378456,0.009871762721057272
239,0.020754662472362632,0.02178160167682643,0.0031478220751403998
240,0.006061334136739225,0.008134294907771799,0.0019428604775124647
