,lambda,alpha,alpha_prime,beta,beta_prime
124,0.0024398515914151246,0.15818920950777893,0.009869323995778953,1.0567347095280355,0.0130955987064632
125,0.008930965145294553,0.18195582653061596,0.017774701593201055,1.0294534413601761,0.03155154228788068
126,0.000709327784442666,0.028431636282421784,0.008580487363561677,0.07645732257320563,0.01439035671816923
127,0.0023206555874363505,0.016317114642009776,0.018333377606758027,0.024816800816539208,0.12253563664243285
128,0.008917396576441916,0.10834579267931481,0.016715495838191933,0.8067405864032613,0.0298259111720371
129,0.00022778143756099008,0.23464159637307583,0.007707624877947801,0.8564220069987233,0.011201193473900395
130,0.01348000250240829,0.36498677127228135,0.02415106316566643,1.1681050277021197,0.043404345129175445
131,0.007441880564798548,0.11872234754048874,0.011365736368925548,0.9075599540772046,0.025381084502719354
132,0.0034016879480201967,0.18426475364840278,0.01063119482011223,0.8219435827435424,0.014454434654880492
133,0.0007423573628050512,0.164219597067037,0.014051573929686492,0.9860098375329662,0.017502997542096523
134,0.007142853789434591,0.3260633636582978,0.01939011856534745,1.2281025625286452,0.03812016181837648
135,0.007857061629642854,0.13033953735003476,0.013944706085181599,0.7849116846235838,0.024237607616909344
136,0.0031640064703172227,0.3046322977823518,0.01568490991398847,1.0307913465168177,0.02504001975256752
138,0.001808070669902548,0.3000272521169697,0.01655782831285579,0.9544314325853103,0.025335480429299582
139,0.005988004853046311,0.012199407399760425,0.02521600283867469,0.020775435770180747,0.14140318193388002
140,0.000669313145387987,0.1318983274217636,0.006028538126515036,0.6679473877740914,0.008167487845990635
141,0.00019392479085078573,0.043502892252372624,0.0034325861201887093,0.0758294016046041,0.008405083044344338
142,0.01094166316890694,0.14528762552707702,0.012684074578949956,1.1556924531596533,0.030079369087393545
143,0.0010732962373436769,0.030421391207475,0.00638319643953492,0.06847440974115017,0.013313100504158903
144,0.007455830724900612,0.018965999978796583,0.020379384634645687,0.027877366824154398,0.12439132453901357
145,0.001959975484502803,0.27954575762261236,0.011918399742265228,1.4707139735817318,0.017074836056824635
146,0.005174782828873945,0.2584347208637418,0.01983257489518285,1.481711104843203,0.031729623721570045
148,0.009170897561412218,0.10149570285854642,0.015080827803851839,0.7939835628632235,0.025913404872333817
149,0.009689634807333381,0.10607649341650269,0.013987201406151267,0.50616385642407,0.024162267502542436
150,0.0017168393051813368,0.19381778387657028,0.008279468192537155,0.8600651988403845,0.011751051850281836
151,0.004469163088090125,0.18854442537473323,0.013957635496820138,1.0034707246100296,0.01958311381347592
152,0.007264958859144857,0.018067542721696465,0.026869713748424458,0.027662879518393208,0.16263125375946877
153,0.011977078474523086,0.17265959110998352,0.03013114869289035,0.6946703923850387,0.0492373096170574
154,0.009583766624897736,0.07908479430476455,0.0016179586686144258,0.10027498871822357,0.03229214497785127
155,0.002832011130320092,0.015514736790458365,0.009578636947083635,0.030773710959118874,0.025671079596690197
156,0.013068225828241369,0.1716019524379374,0.00937392727723085,0.8795773138400345,0.03604033742502546
157,0.004375590958839285,0.1728435047535108,0.00921686741008534,0.8985732766160028,0.013656401429781197
158,0.005808843253933077,0.09332025154345774,0.012696217942263638,0.4273799667361873,0.023207851449391876
159,0.0005694201506086725,0.166592680498689,0.007302006442553718,0.42830626717657516,0.012982306455373113
160,0.0009026194188070836,0.338076953073435,0.01145917832507251,0.9104600221042968,0.01854390311286179
161,0.0070622037903664454,0.14951960988019772,0.013240528935063143,0.9295452429715896,0.02536395995791152
162,0.0014032545157095933,0.16666289474478665,0.00909993253557208,0.8012516235689944,0.012491060277189178
163,0.0037741748279417108,0.11784951132784527,0.012319833687822327,0.7656252060770617,0.016294556824030366
164,0.009618206957430977,0.08885154545474963,0.013823487788589134,0.4164425763367212,0.03673928437368043
165,0.00720249643884862,0.11738737403055109,0.011556756725619694,0.9392077230332285,0.03196596736636076
166,0.0005145893463063054,0.23071476779829161,0.009627150293548947,0.6714498817789097,0.015449011244783033
167,0.004224406759813904,0.09543345198162424,0.01182560211162377,0.36991085549482955,0.018327506959054662
168,0.002422107957303743,0.1910065680268874,0.01479024112867669,1.1166110145041477,0.020221856660204846
169,0.0058315592947014005,0.21075634337393076,0.0189714350308805,1.0804599944896403,0.027083268601822603
170,0.004258450915460557,0.19650072965117993,0.007885744649302936,1.1116336527310517,0.024998973268680925
171,0.007754089716357963,0.1382079051314612,0.01786007569906699,1.056846451383897,0.030053876352999165
172,0.0008071589487784666,0.016915168197687475,0.005800452960436696,0.029923003587995885,0.014959596614584722
173,0.007496599114318766,0.2523312770599345,0.008062734249924704,0.8314139914562507,0.020262676163666733
174,0.0029425288673530217,0.014556763646792835,0.038989294976561326,0.023114076277230992,0.20390522748330947
175,0.0010819590488172644,0.06357213797514678,0.00454037706206496,0.2036229718939523,0.00718948503438279
176,0.0038126677021134417,0.013368679959098408,0.016246808698365776,0.02599290992524958,0.04867821979129292
177,0.005261310088927848,0.15911194524815941,0.013090958245034447,0.7384479715339878,0.0210578105402998
178,0.0065573555452435334,0.019725991685878217,0.01474650494719199,0.029506963224168743,0.09891797296249225
