,alpha,beta,lambda
150,0.0220342708299149,0.028780963030907058,0.007039105196178789
151,0.13887691839298083,0.47821003460626543,0.018817449835659937
152,0.019050947576409898,0.02395683228780682,0.007978739657591629
153,0.03377784776243504,0.03858219804799749,0.010731106880570255
154,0.07757910324024477,0.09777302798484062,0.012051033176902894
155,0.013720142765696807,0.017901278649475272,0.0055675473404336795
156,0.17291349671276807,0.8137704844245472,0.019139002873759955
157,0.01948281402624829,0.02409795943457496,0.007320329965703486
158,0.014390569916893874,0.016788540003145207,0.0035417400019191795
159,0.03483680976284847,0.03832061269260548,0.006609358308216479
160,0.1432434334895808,0.21257060544539771,0.01516958205127662
161,0.11417299530730131,0.5151109478799389,0.016510441331316496
162,0.018991579190204017,0.024475023293255807,0.006244953693938265
163,0.017919632751843505,0.021546300850131286,0.00827609196780601
164,0.015100503399098965,0.02192488372237446,0.006812599860378367
165,0.1134470471115976,0.7775525267425661,0.010973455377591958
166,0.05071029309709374,0.06625549021693883,0.010783790654291138
167,0.022782786952370234,0.02625583604690845,0.005975472568922043
168,0.018236764069438555,0.02075753985739455,0.003381479245399122
169,0.023168161156324696,0.027603966043748183,0.008714269437950905
170,0.22345831779999967,1.2225269692125915,0.00674692059150024
171,0.014891622350647735,0.020266182809992345,0.007160638258324783
172,0.01735673114845118,0.021720553468677205,0.005327157876175477
173,0.23056534328951608,0.662063211068176,0.016549989769417697
174,0.018892743631417127,0.026207838698935643,0.0046261435117725255
175,0.01951948018076735,0.029633988378346528,0.006660051128079173
176,0.014022557801777288,0.0179463782756225,0.005015072242878819
177,0.02162503770328856,0.027709554979130413,0.007850465830638245
178,0.019294387564062192,0.02431481374953598,0.007123379397488872
180,0.030146712570316495,0.034052262728925545,0.004882432519381185
181,0.14445967537010407,0.5574547837110863,0.01318610290680851
182,0.014891651873201767,0.020521775646724853,0.0065012208938512745
183,0.02270630052064727,0.025840016583325416,0.007811473892723731
184,0.017191802379495424,0.022126676778257956,0.005585998614408709
185,0.020188769169166634,0.024120737628898128,0.008091245405859683
186,0.025423145748731453,0.030788880437801664,0.008556096302152316
187,0.014600003295290861,0.017291008682912987,0.004642918289752067
188,0.1761035568706435,0.6919276280047103,0.011100823393128536
189,0.01414416547128968,0.022992116548281302,0.0067852264331565585
190,0.018376115576104315,0.025822248915923572,0.009950052645389316
191,0.07122756994461486,0.07421145112397456,0.01014803524336277
192,0.030827161381073484,0.034674181428785165,0.008032805643838539
193,0.2612984839880661,0.879655228363802,0.01730544265808685
194,0.032056973847024384,0.03493937236120239,0.009901323804742354
195,0.17855336106696162,0.6289771284328649,0.025298974722516247
196,0.1596557892763034,0.6654421273950094,0.015489463292960836
197,0.22458787497701338,0.917838457144599,0.016350434855956164
199,0.032474248170226316,0.03778966314836074,0.008686622043732033
200,0.14152744837345302,0.6421564533173558,0.027569061927287537
201,0.018734947218759183,0.023602218424615094,0.007817445527486004
202,0.02178298776702129,0.026470412404602333,0.009407562584985797
203,0.013749114802469648,0.017351656780652404,0.005909476362080975
204,0.1625517834497396,0.9991487707710967,0.01197749903414104
206,0.017971812881934574,0.022879431748462985,0.010241869207784901
207,0.22757881310287262,0.9003277643543085,0.008838730801838899
208,0.12826023685457813,0.730256242920254,0.010093668079138501
209,0.08902743666421645,0.6252163396284386,0.015317808825400632
210,0.023921159024859213,0.026796249303528863,0.00480047217780301
211,0.024338354667602508,0.0286278576569902,0.004546088496461321
212,0.08930064381944056,0.5096386163690467,0.011830523513729563
213,0.0813850434200674,0.09172106515469232,0.017487374128046403
214,0.025810605691271953,0.03960777136305235,0.009900465967006514
215,0.020018522441850775,0.02394039799628403,0.004294282888690714
216,0.013416620118359679,0.01813920953383827,0.008862527079034897
217,0.032179054623491826,0.037221241185800655,0.010534531216377268
218,0.018578940714579995,0.020681594687713547,0.0028520389880211383
219,0.018294085357519533,0.02200337732237866,0.007702445178744635
220,0.015018668111020159,0.01954628582440046,0.00667501809600755
221,0.015920372552163588,0.021397687708570277,0.006330824017807576
222,0.23194510159416892,0.37820083934654897,0.010962692506044626
223,0.01848458819571465,0.022855248498781386,0.007862694094625578
224,0.0275563126403024,0.03403587042739625,0.01253318449833494
225,0.0192731289538086,0.022546934731606332,0.007216157195495462
226,0.05311336852576115,0.06843105526190367,0.009243014104738326
227,0.16458603302794655,0.9106072201135236,0.017049127487710095
228,0.034037097700885005,0.038954853684764264,0.007001078083610757
229,0.08104078541407798,0.10509255852339847,0.019937881660777142
230,0.313690251960806,1.0743172758745687,0.016493360274899303
231,0.014589090563871223,0.016936379535608993,0.002985000851058091
232,0.12093477765140773,0.7094724970579092,0.005482620739189758
