,0,1,2,3,4,5,6
20,0.0036695632518603696,0.00019558421891200067,1.0358783916958404e-14,0.00019558421891200067,7.827401979620715e-14,1.91185807780345e-15,8.310851266863958e-14
22,7.220979276146465e-15,0.011844784637905356,2.508378580460734e-14,0.011844784637905358,1.9760264673964616e-13,9.044809793248452e-16,2.141739847988183e-13
23,0.002211491813229225,8.07614510260402e-15,6.790274692191953e-18,8.076145102757795e-15,0.013564658809055642,5.652069696253973e-18,0.013564658812360674
24,0.0024530237420396024,5.545462440840018e-08,1.3634126665755097e-29,5.545477762795073e-08,0.015686139256832637,5.014160474136858e-27,0.015686139256832637
25,0.007033424370394146,0.0001922234934925088,1.796746629582011e-17,0.0001922234934925088,1.0556944677481097e-12,4.320128102395825e-16,1.0651287875207294e-12
27,2.4711849430963735e-14,1.3736183954615622e-06,4.908269318331943e-18,1.379982432044819e-06,0.006893117820182267,1.1442367563321932e-18,0.006893117820182267
28,7.134400052148526e-15,2.2431978739385027e-13,8.187492178421096e-16,2.4127170032301374e-13,0.014107452683552004,2.3615997782944987e-14,0.014107452683552006
29,0.004779071348427827,3.743020712985211e-12,1.849445107330333e-15,3.743733353316632e-12,0.0002126666509529868,3.3143029984294545e-14,0.0002126666509529868
30,0.006510886178638735,0.020288916653646988,4.252784303548588e-15,0.020288916653646988,3.0870218046543303e-17,1.2105697747260705e-15,3.0870218046547155e-17
31,0.004037237447523321,0.00020461366735609557,2.876582410240985e-13,0.00020461366735609557,4.091175446068071e-17,1.7584397207129523e-09,4.8198504791339336e-17
32,7.445301105701878e-15,0.008187317052495032,2.3382788998774823e-14,0.008187317052495034,2.465610935045232e-13,8.623902367249476e-16,2.635865525198924e-13
33,0.005204768255460887,2.237380070360106e-13,9.501826659993183e-19,2.2375779790177604e-13,0.019129279674674836,4.0415170008824465e-19,0.019129279681564818
34,0.005514299727782607,2.3290260617171172e-21,6.064736229336967e-18,2.674773715467217e-21,0.018975090940523104,4.2783549583566254e-17,0.018975091011953087
36,6.913316130512682e-15,2.2661988385098074e-13,8.100757730959232e-16,2.433419669353206e-13,0.015563521230880142,2.391252146762135e-14,0.015563521230880143
37,8.416799315427179e-15,3.1053780306882175e-13,7.998981953679673e-16,3.105398268110343e-13,0.010808441246253242,2.2383821059342966e-14,0.010808441246270038
40,0.0033303825519919125,3.269539175952876e-17,2.715727681333786e-26,0.0193175551819305,0.015202925892906272,1.1036385911943288e-26,0.015202925892906272
41,8.550241451739764e-15,0.00544594456265269,1.5539853299773522e-14,0.005445944562652694,3.1909408860889654e-13,9.990553617237585e-16,3.375805488630924e-13
42,0.00728459347852954,8.90584535299075e-05,5.837072066859767e-16,8.90584535299075e-05,8.567415904337354e-13,6.345379040440249e-13,8.585388076033023e-13
43,7.981806505314356e-15,1.7830410958813207e-13,9.019262271588387e-16,1.9121103446585738e-13,0.011871784475742905,2.717647029415284e-14,0.011871784475742907
44,8.79531522618125e-15,2.139900371233894e-13,9.463766828050233e-16,2.3396912323833795e-13,0.0038806427931423826,2.1037922918212797e-14,0.003880642793142386
45,0.008728926582332331,1.4393181030070594e-09,1.53109513243449e-11,1.4393181030070594e-09,0.019391429047949035,1.312321091191581e-32,0.02168200904622181
46,8.052790723349318e-15,0.008589649098104214,1.371721193945871e-14,0.008589649098104217,2.675141200899542e-13,1.4388087422604883e-15,2.7862226499356385e-13
48,7.544739791885552e-15,2.2518670014315168e-13,8.479634392674107e-16,2.387929844290194e-13,0.011808919815648721,2.6632052095909632e-14,0.011808919815648723
49,6.143749431252702e-15,2.3143613560204834e-13,7.210235215415478e-16,2.504322158688595e-13,0.008464946074516267,2.082240098282901e-14,0.00846494607451627
50,0.0053263788032674505,0.014954446418884238,3.4403989331634446e-13,0.014954446418884238,1.9424082228865248e-14,4.493850265090588e-23,1.9425032050150813e-14
51,0.003047808404796972,5.524977713198501e-12,7.375792656268899e-15,5.53670396553375e-12,0.0003462380836721478,7.81721016551627e-15,0.0003462380836721478
52,8.586346239121576e-15,0.008115345262862046,2.1399296033019224e-14,0.008115345262862048,2.945174352253557e-13,8.072849717038249e-16,3.115500148526294e-13
53,9.89732213576896e-15,3.799116226385209e-13,8.118169644737301e-16,4.0013469588277466e-13,0.004027056202942937,2.293637605547556e-14,0.00402705620294294
54,0.0036922619001918938,0.01844579106232836,2.1119730977313697e-36,0.01844579106232836,2.802589906933555e-12,2.0131982147449314e-33,4.4591223595793315e-10
55,7.0050318674020016e-15,0.014441635074765303,2.4072557941300616e-14,0.014441635074765305,2.285818839094062e-13,8.248238777011182e-16,2.4525412630600227e-13
56,0.00274631568674464,3.743648432451011e-28,3.398822117015942e-16,5.0400464888884176e-20,0.018150655043557545,7.667755592671693e-17,0.019494528792482407
57,0.00013703996113636715,0.005687959115251022,1.1789808289636874e-19,0.005687959115251022,1.2312067204828838e-19,1.347984316633872e-23,1.2312067308237108e-19
58,7.672709416642717e-15,2.523213729875111e-13,8.408572185566072e-16,2.523238099497562e-13,0.009152027061294603,2.273860551595765e-14,0.009152027061311638
60,1.0230765155786204e-14,2.661272458596221e-13,6.93691392463449e-16,2.792446255198496e-13,0.006488949771544835,1.8259131449197845e-14,0.006488949771544838
61,1.7720364687505317e-14,1.253390194653197e-13,2.4390290539683138e-15,1.391158610141368e-13,0.0002812567063091396,2.809206756653167e-14,0.00028125670630914807
62,1.381820485616259e-14,1.4629775215704862e-13,2.1659848282168987e-15,1.6093020532491723e-13,0.0003220486608060188,2.6084278450414687e-14,0.0003220486608060289
63,0.003338712665108472,0.00020456247187854677,1.8502827895475263e-16,0.00020456247187854677,1.8558405085164678e-13,1.354997465293451e-12,1.8568826335247717e-13
66,0.00020421763132146738,5.985575853376674e-20,2.335040656733357e-16,2.3758267372157576e-08,0.009286401296497167,2.1497774082054226e-20,0.009286401296497167
67,7.65530582757508e-15,0.007953389554408783,2.212071564150253e-14,0.007953389554408786,2.3759869666260646e-13,8.69091132183509e-16,2.541932059084909e-13
68,0.0026289726661989296,6.450614783997342e-17,1.8241536357236343e-15,1.4546437736903262e-13,0.022274763409559233,6.340237209185999e-17,0.022274796246710325
70,1.5001747041906942e-14,2.161917998955566e-13,1.6476744112282728e-15,2.347767031734454e-13,0.000732801992803745,1.6458426676156524e-14,0.0007328019928037502
71,0.0017480582384754046,8.029550652288263e-20,3.313906219539694e-19,8.02955065228846e-20,0.012330002225637288,8.80344298957679e-17,0.01270741052188308
72,7.34718309026051e-15,2.0970667691403775e-13,8.904455511387193e-16,2.2342261750584752e-13,0.010433839411732848,2.647825170149081e-14,0.01043383941173285
73,7.557914522740588e-15,2.3523359338903406e-13,8.254676959610678e-16,2.3523572356610217e-13,0.011605947787718552,2.3029830793090553e-14,0.011605947787735476
74,0.006789450272066045,0.02809430846772167,1.3794685299751e-20,0.02809430846772167,3.947931365547604e-12,1.9774526132837343e-23,6.60558870266591e-10
75,9.53813046961913e-15,2.351002875170838e-13,8.641708897651577e-16,2.486078456205855e-13,0.009931856786781625,2.334618611085117e-14,0.009931856786781627
76,0.004374535107423888,2.3657076036424026e-18,3.209623386281654e-29,2.370186366800748e-17,0.018357287465776514,3.666409227482765e-21,0.018357287465776514
77,0.0022100535650119756,0.015483213845550934,2.4191423417531097e-12,0.016490743692995698,4.752730577843977e-37,7.60245062417591e-13,2.9207608349922245e-20
78,6.994414945217437e-15,0.00587731931100463,1.4474363943322067e-14,0.005877319311004633,3.332537988521368e-13,9.598009823103949e-16,3.495612127907978e-13
79,7.487597175410467e-15,3.3221432742016314e-13,9.602984322451992e-16,3.543423503582479e-13,0.004482433676229187,1.491581338550384e-14,0.004482433676229191
80,0.005896499778980604,0.00012954213639842127,6.468417058524206e-16,0.00012954213639842127,1.0909149407479827e-13,8.986037927981739e-15,1.2589910361836316e-13
81,0.0020350848854082913,1.3156856461678726e-14,1.1602831666397272e-19,3.823653017311232e-12,0.014185577327279644,2.98068789584519e-20,0.014185577329712415
82,2.7048719264720504e-16,2.0534616353591754e-05,7.750460350766186e-20,0.0002641647642635988,0.007812727861354693,1.5864935239030323e-17,0.007812727861354693
83,7.19890727986057e-15,2.2885395074949343e-13,8.126156801516797e-16,2.459086397346845e-13,0.013867574261829019,2.3309296846749615e-14,0.01386757426182902
84,0.0005273294539176221,4.359686295934563e-27,2.7478750831288003e-18,4.3596864250376526e-27,0.002579043293706708,3.824913241879156e-13,0.0026007027289795463
85,0.009503031048608909,4.0864591481676826e-10,3.235095512213551e-12,4.086459148194525e-10,0.027391486115312193,2.7415426204380707e-14,0.027391486115312193
86,0.0023635435333770214,0.0002658381100901367,2.239674695285026e-17,0.0002658381100901367,7.368327212927524e-12,3.5270478014372086e-14,7.38891456437604e-12
87,7.474016443407148e-15,2.454033043399089e-13,8.400623204915339e-16,2.618130217965349e-13,0.010009060313405475,2.3456083877597044e-14,0.010009060313405477
88,0.0010894945105263414,1.609929178721059e-18,7.666425048275081e-24,3.7151870422417907e-13,0.013884398874786699,3.5237584464682904e-25,0.013884398874786758
89,8.765264735065212e-15,0.007929812294329411,1.973312779265498e-14,0.007929812294329413,2.87927624432229e-13,8.054553760802084e-16,3.087999854618959e-13
